,dataset_name,freq,Trend,Seasonality,Stationarity,Transition,Shifting,Crossformer,Arima,RNN,Kalman Filter,Linear Regression,Naive Drift,Naive Mean,Naive Moving Average,Naive Seasonal,N-BEATS,N-HiTS,Random Forest,RNN1,AutoCES,AutoETS,AutoTheta,TCN,TiDE,Xgboost,DLinear,FEDformer,FiLM,Informer,Linear,NLinear,Non-stationary Transformers,PatchTST,TimesNet,Triformer,Lightgbm
5896,dominick_dataset_90554.csv,Weekly,False,False,True,True,False,,12.353076038186742,37.79380811159169,6.609246046488358,11.052938574024132,4.102101464960016,12.719985019971476,4.113588684386964,4.113588684386964,3.968151531560464,5.718000620505976,15.453792417328115,31.30031756590191,15.63429569376638,12.726356468681423,8.094653282559072,59.63299934746384,8.319625182446298,26.99048690173825,14.800861852918842,13.058526082252053,5.982464688184734,8.816962831301954,45.08847601029006,20.31620566112777,7.024752680430366,8.10522510175369,5.90282807902002,12.239588866543322,17.004378031624775
5897,dominick_dataset_90711.csv,Weekly,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5898,dominick_dataset_91010.csv,Weekly,True,False,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5899,dominick_dataset_91401.csv,Weekly,False,False,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5900,dominick_dataset_91402.csv,Weekly,True,True,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5901,dominick_dataset_91457.csv,Weekly,False,False,False,True,False,,11.538959743645783,25.95035586000527,11.335477040781814,5.9501656760167965,0.600262984878373,17.199191433566437,0.1538461538461537,0.1538461538461537,3.483637150972646,3.424391103888147,7.261441097364196,22.2795283811596,7.799040777443427,10.4839345932263,9.74036899544078,47.29533012280383,6.659988373240394,8.274367812117175,8.61152163624058,10.920481145734618,14.619746010684404,9.84425234371388,40.85845189969216,8.319575766839927,11.420189558401614,10.266901050093608,11.346977843335395,7.583307796681425,15.305032992488254
5902,dominick_dataset_91824.csv,Weekly,False,False,True,True,True,,6.020045417334256,83.0987831317088,9.691295728604493,13.942988162072863,11.939888428280655,5.794032709873793,1.4921655083077996,1.4921655083077996,10.82191139469626,5.855523639571449,14.692922800986471,78.91103114777748,16.32496898158785,8.116755225549994,7.950020563387746,123.68268836935376,18.65448522732469,35.76604593727553,13.483514384987252,8.490161379276365,11.008974025950488,11.903170348134331,97.70387543161524,15.151897088605262,4.61466943451818,11.623378862278786,12.918940120946283,45.42746670627484,5.153893136610237
5903,dominick_dataset_91950.csv,Weekly,True,False,False,False,False,,62.69147842407733,65.75058109697092,64.15758279677367,58.78760237640349,60.79780097164226,54.70920958098413,62.69589995250908,62.69589995250908,49.17361808501105,55.82194223895177,62.46952667405409,59.01623942765372,62.69633063074341,62.69129636319376,60.67133392169729,108.04289193015526,61.33089814054694,66.41886461681253,52.587349852259536,47.713717807409246,52.581343908220845,47.324491645483256,94.9237452214591,64.87192507501227,49.12827142869743,50.02950649010863,52.87990798032298,30.66196403908016,39.991341431533264
5904,dominick_dataset_92026.csv,Weekly,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5905,dominick_dataset_92093.csv,Weekly,False,False,True,True,False,,10.205322842792333,61.11534438151751,11.253989437803488,9.577858763789738,13.313375544278088,28.4022143398232,12.696361682975695,12.696361682975695,10.710372404247645,10.66928510530112,36.28374807630883,56.40638613527883,11.146095187487012,10.838929806829077,10.835309201560127,59.408631102892265,9.826176807541502,17.905012776673804,9.771619476803076,9.73988129302784,11.289647056193896,10.038773318942324,46.71397807723488,11.94085988707927,9.76059033953149,10.480637836824595,10.801055681352748,27.861250707879503,12.56409535039404
5906,dominick_dataset_92114.csv,Weekly,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5907,dominick_dataset_92542.csv,Weekly,False,False,True,True,False,,75.44812304983006,94.99107622158488,73.81118108075248,74.53662203506056,71.19024864116543,78.1373010067231,68.92831016825166,68.92831016825166,80.01074485712351,81.0306303489823,73.35972933430868,94.01393460280532,72.2752312979039,72.92979848030582,74.41330702529831,123.52538200295557,85.31412646262173,68.29610504600602,80.86033958076008,76.69882845279794,74.44555137948682,81.52505941607261,120.01022277329498,60.06502143582668,79.62834398445925,81.81676637890921,81.9954108447745,90.01761321119204,82.17194376102447
5908,dominick_dataset_9314.csv,Weekly,False,False,True,False,False,,232.9695207366541,103.03979375659613,119.94450442563192,234.89051893371897,225.85419417423407,232.9695207366541,100.0,100.0,283.92359030878225,296.9184614972411,218.4437318674607,216.59103738872724,222.0350087844865,232.53397109490987,150.63231582222213,131.40122656936495,365.00528225585487,178.63324011536224,157.74627807286336,142.93544954299054,300.6829547634524,166.7656310770708,272.341399601278,276.0978009941415,151.34475324004276,164.30822649990844,154.57712068032046,124.18668948342592,264.6671076591899
5909,dominick_dataset_93228.csv,Weekly,False,False,False,True,True,,37.43031608637008,63.41470411516945,37.59574405305313,50.41282046205515,56.04750828709134,73.5000937777682,52.56874217878039,52.56874217878039,42.53168464649424,39.358595900419125,72.13782257246254,60.178890406160434,38.050917528888974,37.30980464885912,37.33221607503059,82.57215826802853,73.11743400493876,70.9673392646478,44.85251939901095,40.13965237824858,44.537520698116175,40.67030707440048,108.44714354665608,64.04538230884386,37.45007542208823,41.39886790860125,39.56198598621913,54.81585530589325,55.063486607074864
5910,dominick_dataset_93237.csv,Weekly,False,False,True,True,False,,33.149597031930746,45.60111894791561,27.07193110091807,28.571382728752283,12.0460770766332,31.081724380326435,12.159611118976825,12.159611118976825,25.775795283641585,26.946796464946875,27.79812638633252,40.737516598597054,33.317858577927936,32.876566263221434,31.41765226317058,70.3628532553323,35.83454547823939,24.002049738792923,38.69335599976076,37.52534958059294,22.20537080440263,34.36160198530147,63.17763587404453,34.29334637712434,33.48060657238914,35.261152392488256,32.19730588374759,29.87928859036113,31.94059509610005
