Dataset,Triformer,TimesNet,PatchTST,Non-stationary Transformers,NLinear,Linear,Informer,FiLM,FEDformer,DLinear,Xgboost,TiDE,TCN,AutoTheta,AutoETS,AutoCES,RNN1,Random Forest,N-HiTS,N-BEATS,Naive Seasonal,Naive Moving Average,Naive Mean,Naive Drift,Linear Regression,Kalman Filter,RNN,Arima,Crossformer,LightGBM
Seasonality_False,94.62491549067151,38.965632608174765,42.294519670327475,42.089170541710764,45.97115253050621,89.44669579247457,41.40748926831255,45.008672104538846,45.74102062787883,47.33492436585107,42.17073313519918,57.716238875618004,101.96883983059458,49.089947095910034,43.42949400948763,37.40722348899615,91.9673176148346,43.818940531751046,43.238303842617675,39.394726811448685,43.027020119261856,43.027020119261856,503.72999255542237,65.9117283231332,438195385853.6717,50.224441874790266,90.88595486071453,99.87052862680078,93.01081695146968,33.75582622073856
Seasonality_True,225.30497917262798,182.73009191214123,166.0409840673464,179.4508698247873,184.4391670984269,160.1567348020586,184.69435330425338,195.09992396362085,183.01536355340065,171.0437257300708,169.97320269049615,176.6346525901038,170.4521542933133,188.83897009641151,194.1407589886512,187.67389403947723,94.43661909470228,180.53464220928095,170.85670234220353,166.27905422581082,178.58810765438585,178.58810765438585,225.90998587280873,178.32784356743176,36610233064.39025,174.44614492360103,91.83677761225489,175.3342173327454,94.64507339522122,16.993489380022076
freq_Daily,56.94478799310187,29.31254890586618,32.88950163667146,31.00934867834306,34.53922213101766,49.33680050453347,32.362636465808905,34.51387992499849,36.63384131910891,36.781495163185504,30.598812566472194,34.88178552020329,61.86321185378841,45.16288010696562,30.366228553212675,27.91069019495,75.23496006384092,28.32121582064562,34.92773216534192,31.074862541091814,30.69004573023396,30.69004573023396,1535.2398308123538,104.00694292933261,158.83306998352302,30.030269584296608,72.90909081516905,212.33087746203103,76.30205241575376,
freq_Hourly,91.31344845353641,61.988888056852865,63.90341688497687,73.63213102257578,84.50149793243952,79.07963230036505,81.88389372140418,72.13003717596855,66.03745276222095,71.23051235724252,45.13565408593291,64.6330730433054,73.46327470353297,94.61177120132986,104.59444548076463,,99.51976316146049,45.40555890647531,58.33271331367256,53.476925521396076,94.60731812367283,94.60731812367283,136.76954640299772,94.97606529388698,76.09566993313616,81.65169073151772,81.78291498042753,105.20376494749236,98.09717152987018,
freq_Monthly,67.01527455556347,18.892964976911443,19.134150913353793,23.57683020519944,28.504781692471518,56.64846371005983,21.83900314672405,18.836046065471347,20.22036063409423,22.254190970483005,20.645247691499346,27.458694488731698,86.5223053077894,25.401940334464836,30.850548632702353,23.025360306628272,97.35349902640384,19.565727800361948,22.378494221952753,19.456728716625822,28.461887582366412,28.461887582366412,32.427079408631876,29.85971394172549,44564366791.189926,23.073554248286946,97.40700616967071,22.261275405834976,97.74010816227472,21.571870505077584
freq_Other,1349.0468451218167,1385.6583430153676,1270.2231595230112,1297.8599061367067,1330.4502998452322,827.941931576728,1353.765900148998,1482.268650009178,1391.790397998589,1296.3499202651617,1317.6426392972567,1307.2440367740485,835.5014129420251,1386.5544105623353,1362.9233457618277,1289.3466433528301,88.11794143183204,1433.9225116640926,1295.4989760584951,1262.211589638371,1275.2500695859735,1275.2500695859735,1483.5433923842425,1266.2766354377281,1390.8943092397747,1149.0798703027313,81.4758262389683,1284.7200347667501,84.078291312771,
freq_Quarterly,97.16664317352448,18.230447334631677,19.07517611604994,22.544209213091698,26.60988574183078,109.79388586892513,19.293832398700832,21.341172404641977,22.868796861023167,24.289989909906836,21.88566140588497,25.492787864471605,108.8180008195198,21.70187048487487,23.236905956521177,22.27953153108853,99.72662062300193,21.180423407847982,21.68326027684475,19.91851033417186,21.82493227614257,21.82493227614257,37.900899957779764,22.448442409401704,22.304408178828567,23.037253913749968,99.57422666695237,19.858816614540544,99.54974791842153,27.947897620051524
freq_Weekly,64.17269848244577,10.520572736489429,11.768850857262821,12.715847338111354,13.835921489869815,33.796160302846275,10.831140666978236,12.851115507448617,12.512329345901769,14.077252237338424,12.895410341852255,14.663670779388504,42.55486795037517,12.485244616908556,14.02943241286739,12.710903685891495,93.31832952250302,12.638747075024133,11.390011002176493,11.327348037591532,12.542563417811591,12.542563417811591,56.8772264398793,13.420782703017569,1502.3799647126236,12.151606058669634,93.45132544716728,12.673891587149464,94.04359771381841,13.856944003904182
freq_Yearly,99.8148638782871,22.437457770482,24.125436033598753,21.156232695963162,26.170729004899247,109.84751975638257,25.46082188482167,27.15719095211109,26.940792239519205,26.34716063787643,25.273755935113115,64.02047724470506,122.97039590337947,24.193025679142927,24.19317735862149,25.735966440604738,99.94383902610923,25.050577316368383,24.486637381617722,23.157942985580807,23.942089543582785,23.942089543582785,38.531796527650556,25.82036894113541,1368960866563.8853,81.89716813062219,99.28367259231912,25.862323142897303,99.40259443352804,35.744792788109855
Trend_False,230.277212839357,188.38163715742473,175.77689687493606,199.5486229314455,195.28992182145225,163.16678033145476,190.49775455286974,202.42164971814393,191.3863677442565,182.33679780293002,181.65389375321297,192.25694353828277,174.8808678123065,196.78167044032466,199.46765183573342,187.74623905275027,89.97444388178154,194.81954873998285,180.3865767245484,173.04791209643466,185.6447956022446,185.6447956022446,229.0787199613618,186.4592257852477,581522846026.8873,172.47900801831943,83.6668613082304,187.91457170218857,87.46879466081114,36.296428617002825
