,dataset_name,freq,Trend,Seasonality,Stationarity,Transition,Shifting,Triformer,TimesNet,PatchTST,Non-stationary Transformers,NLinear,Linear,Informer,FiLM,FEDformer,DLinear,Xgboost,TiDE,TCN,AutoTheta,AutoETS,AutoCES,RNN1,Random Forest,N-HiTS,N-BEATS,Naive Seasonal,Naive Moving Average,Naive Mean,Naive Drift,Linear Regression,Kalman Filter,RNN,Arima,Crossformer,LightGBM
0,bitcoin_dataset_without_missing_values_1.csv,Daily,True,False,False,True,True,199.9999448961034,28.227885987668028,26.93172498768316,,13.484430008853446,152.74738321277812,28.19155545789189,28.23325657772025,28.35655986898954,28.61843098816177,1.768062818599102,6.870912312196142,23.82371192575691,0.8769551578710547,53.18555694143727,1.342979442273783,199.99999999013448,2.6821058546038232,7.63658522817527,12.561905097496645,0.7108336637927613,0.7108336637927613,122.78251003775036,0.8748904214189505,3.4974294714781777,0.9359989852453112,199.9999999901429,0.7815314433129663,199.99999999171905,
1,bitcoin_dataset_without_missing_values_10.csv,Daily,True,False,False,True,True,0.2846984815638058,0.6387226279037996,0.5816471883541402,0.9068993474853346,0.414955011689737,1.6665054011474154,0.8597753288886969,0.9832114912335363,0.3149667668317738,1.2955796460709528,0.326987178789707,0.3611767831898937,2.920436000014989,0.4412570339745195,0.4591656715358652,2.430769988678467,1.3599778567454772,1.046230235625013,0.4518007138504039,1.7796760243981162,0.4591656723678832,0.4591656723678832,20.661688129137705,0.4603455512598535,0.4763718376013277,0.4585720261835141,0.4975246122844431,0.5858211625154369,1.599179500831465,
2,bitcoin_dataset_without_missing_values_11.csv,Daily,True,False,True,False,False,29.51243762533441,10.603259558381051,6.687066008494921,17.518380422415696,14.047808580727525,12.655079220598733,8.96811837532365,15.027169512980665,6.893541634202888,9.919751486102548,11.626873452785466,6.955186253849151,6.54164823515979,10.298420964439169,15.855732375533332,12.694968864162226,87.19595633160547,16.821030179401305,5.8249502979339685,5.203649452029356,10.919851613454226,10.919851613454226,90.77196389482144,11.059374763448163,5.382000160714577,7.1164048383184975,87.83682425359738,10.299936725919,117.89774240752978,
3,bitcoin_dataset_without_missing_values_12.csv,Daily,True,False,False,False,True,162.2274157891546,22.29729098907024,22.60600465285052,,24.41906926574545,24.1201293569356,23.57516973871954,22.34780028329501,22.88425132127063,22.81880262294291,26.59086859757162,24.37739495070521,21.954657346779147,23.22944826143513,23.12400852708409,38.1964700937288,199.5432632813858,23.25742657798133,23.295141954132205,24.18420896737156,26.072217587382102,26.072217587382102,159.11575302173978,25.960491326695383,21.752551187282208,23.034977762100223,199.5486046973408,22.355900771018494,199.66570989003463,
4,bitcoin_dataset_without_missing_values_13.csv,Daily,True,False,False,False,True,32.09273198355666,32.55549904593663,33.28049264434179,35.29760494023453,33.37752436369684,35.16462928104224,33.237309863166935,33.387909803788496,33.720560614977806,32.891294626063825,28.16491304094117,29.767188841392183,28.74735729276341,32.92482622392967,32.68878075623078,31.607258314358216,199.75356367893264,31.08363937492612,28.56241544545076,30.69957406283622,28.68183772019175,28.68183772019175,31.44408153204496,28.839867939154622,32.92744594065585,32.863515490098536,199.75308074562795,33.71295544937208,199.77232840850587,
5,bitcoin_dataset_without_missing_values_14.csv,Daily,True,False,False,True,True,200.0,,,,12.819681072761002,,,,,6.751909652888164,120.10392873923536,9.670618883188576,12.449453858387855,11.43699797821698,11.206518189167564,11.935074592522744,200.0,8.397782649966741,5.66307460663928,7.317361414077646,11.52942055710991,11.52942055710991,120.34227447615557,11.365915906074282,10.66486100275046,11.510506480139965,200.0,11.16061465256034,,
6,bitcoin_dataset_without_missing_values_15.csv,Daily,True,False,False,False,True,68.18881334516107,10.9198378192103,9.899861062621808,7.5410043465363135,8.945190784756882,12.661066455364958,8.027627294038519,10.75501335680047,8.147631297845573,8.359741172712583,9.324939347835818,18.15037355226485,11.40701844989583,10.102893279336122,13.911306246579366,9.52726895574653,199.77948387934904,8.607276696802977,12.72836894630773,10.107571087121569,14.15573673515886,14.15573673515886,68.12255747052782,14.318354334064647,11.668006724393026,10.203121632727376,199.7946785099199,11.728032546182794,199.7983915010064,
7,bitcoin_dataset_without_missing_values_16.csv,Daily,False,False,True,False,True,63.76297476239123,9.257075044140418,10.91483714627608,11.229325969371091,19.2775648510002,21.155266314559388,10.967037511227808,10.04915817621319,6.737567081302178,13.446714691672687,8.176645351223218,17.213406967933672,22.976270277014216,9.35975252779606,22.299602582677693,9.942270150862884,6.337034712423415,74.36934107160145,8.809455268475539,15.3364658914083,10.209054442893892,10.209054442893892,95.72522029768,10.387476387856433,8.96020643755645,5.267878921725035,36.69340723432513,16.747955309793873,13.893370864467787,
8,bitcoin_dataset_without_missing_values_17.csv,Daily,False,False,False,True,True,80.22202807347556,23.507546255248663,24.71781217248718,28.625207704586792,25.1575177115937,27.923771653526654,25.80055957545629,25.01849800582352,25.543861131992625,24.6712512700194,24.11168374612673,32.54150805002225,24.05319631295667,17.84166107515451,17.831999161016896,17.470117660241463,199.03247349645736,17.92132978777196,17.051786929129833,19.51794060274284,18.47746371856991,18.47746371856991,79.7563384161717,18.51627195300158,21.077422091027675,17.15679593271662,199.0195096670297,32.19533588154731,199.3845428123448,
9,bitcoin_dataset_without_missing_values_18.csv,Daily,True,False,False,True,True,133.23044320588482,3.895379326874345,3.737634311182487,,4.426335332244992,5.082258165203921,2.9870753428245345,5.152917212412683,6.138839224559605,8.237099990391162,12.38943306455607,4.734967654370937,3.988930842792597,4.317429992692501,3.4922390787669952,4.777810231837954,196.3804492071196,3.3116001536792097,3.942000114796272,4.880642874634394,4.178900156092095,4.178900156092095,147.12651954458485,4.354996061006855,3.72013601528192,3.8070143589704335,196.32426440355303,3.9940679856476895,197.2648273087877,
