,dataset_name,freq,Trend,Seasonality,Stationarity,Transition,Shifting,Triformer,TimesNet,PatchTST,Non-stationary Transformers,NLinear,Linear,Informer,FiLM,FEDformer,DLinear,Xgboost,TiDE,TCN,AutoTheta,AutoETS,AutoCES,RNN1,Random Forest,N-HiTS,N-BEATS,Naive Seasonal,Naive Moving Average,Naive Mean,Naive Drift,Linear Regression,Kalman Filter,RNN,Arima,Crossformer,LightGBM
0,bitcoin_dataset_without_missing_values_1.csv,Daily,True,False,False,True,True,140.81821605867,46.49079154023089,44.56228739682456,,18.42236613898793,151.0446055228469,46.507696113663656,46.27283708380054,46.52302417904521,47.00616326181525,2.4852829381222583,10.020586743584207,38.3105744368878,1.2198462372321208,55.00003231219035,1.883326897195775,140.818235448352,3.8471403896661056,11.205605701005764,19.00967531867025,0.9839916646765228,0.9839916646765228,107.13905825546256,1.2169125370754896,5.043112501447865,1.3037115198956786,140.81823544835504,1.0842869612661172,140.81823544891006,
1,bitcoin_dataset_without_missing_values_10.csv,Daily,True,False,False,True,True,0.1589492858189152,0.357612075962681,0.3255505549706807,0.5085861884139764,0.2320256117708225,0.9388713588923217,0.4820241466945267,0.5517034864130204,0.1758478593410856,0.7282024080436119,0.1826347767878179,0.2017715084252656,1.65799072872848,0.2467021134264655,0.2567500619262895,1.3357873439649572,0.7653898002646354,0.5874436235441163,0.2531825368875599,1.0039871265773128,0.256750062393162,0.256750062393162,12.871121349611498,0.2562462792651366,0.2664122739865149,0.2564169484244829,0.2783237059305698,0.3257461625140788,0.9005614312069151,
2,bitcoin_dataset_without_missing_values_11.csv,Daily,True,False,True,False,False,3.950927330827983,1.2645459730892463,0.7777649455985589,2.1712459384886977,1.713968738834903,1.5533699071770135,1.0536394482866729,1.8467326419133312,0.8009446319730579,1.16512883386689,1.4215084366474706,0.7846415447154726,0.7870824617579802,1.2046850180075686,1.9351561461841869,1.4006178924453132,7.082758704187303,2.0923946500797124,0.6725964454413436,0.5988664711683422,1.28354101407941,1.28354101407941,7.280726184425102,1.3013667397343316,0.6304378513420937,0.8188423784401684,7.118723799601466,1.2178836187927422,8.635195695412637,
3,bitcoin_dataset_without_missing_values_12.csv,Daily,True,False,False,False,True,30.21225813160558,7.853387976059835,7.954241365573485,,8.473635005456153,8.39633977514225,8.221589293913956,7.874765882343832,8.028645000147533,7.995947241269151,9.01431769797042,8.38977983079028,7.647698847780875,8.145396516576183,8.11091029089666,11.81281342829148,33.403379891947154,8.161897394825536,8.13156435511264,8.493322097617009,8.972398676229986,8.972398676229986,29.91427979995084,8.94312246727886,7.693011985927243,8.081107142791627,33.40379683664321,7.869329158810736,33.41289550559231,
4,bitcoin_dataset_without_missing_values_13.csv,Daily,True,False,False,False,True,4.391312689952635,5.658329467514927,5.8163421126054,6.258809886736466,5.838601604671148,6.23420472667116,5.804665601337467,5.840012349259906,5.911050032454876,5.7314779732604135,4.751868388877572,5.070739391263048,4.865489752411887,5.737776222804296,5.686506116825525,5.452534857504787,15.19781143300305,5.34155487433942,4.815103116374667,5.28694633130306,4.840483256369535,4.840483256369535,4.318313428464401,4.873404249249864,5.73955622299845,5.723987451322043,15.197794531368322,5.908631537968538,15.19850680252941,
5,bitcoin_dataset_without_missing_values_14.csv,Daily,True,False,False,True,True,44.30375239930344,,,,5.30495726423279,,,,,2.968586034682669,33.278912786123776,4.137625696668721,5.191605547818878,4.871375446074429,4.779991193460758,5.068174576337334,44.30375239930344,3.6422529518593647,2.508367498230719,3.1949611698093485,4.907965938925949,4.907965938925949,33.320004749049765,4.843170237510864,4.562880753551879,4.900493603956719,44.30375239930344,4.7594452360206585,,
6,bitcoin_dataset_without_missing_values_15.csv,Daily,True,False,False,False,True,10.599711943814375,2.3014625488950187,2.065997931378641,1.5424310892324944,1.8538730296881003,2.610213821349052,1.6363597116544877,2.2702964196787114,1.666514046412539,1.723029042030958,1.9372951218128391,4.042801920135069,2.3240278268586003,2.1053510160007995,2.9968243097632574,1.973795940086908,20.707762774086472,1.7690612139961528,2.7238057552740496,2.1080394967950835,3.0552194329740447,3.0552194329740447,10.591819997899734,3.094321183796008,2.4726393194530543,2.128256592748552,20.70854351341698,2.4901625692505927,20.708736795311392,
7,bitcoin_dataset_without_missing_values_16.csv,Daily,False,False,True,False,True,10.46305073198325,1.0935882423049428,1.2791763725660774,1.3169316305967809,2.3927376136263963,2.651441843745466,1.2879709177297312,1.1922620620990405,0.7787284332611223,1.6056036251125017,0.8908560108520407,1.9519138846594863,2.9116813817062384,1.0812177634187967,2.791217415765129,1.064122931957142,0.7172992384764076,16.82431984673333,1.0012954109037469,1.843989385555748,1.1863018926480806,1.1863018926480806,7.259648426166897,1.208491905496711,1.0498298067953256,0.5869284955047465,5.013005161287439,2.029116092106501,1.6558066297187617,
8,bitcoin_dataset_without_missing_values_17.csv,Daily,False,False,False,True,True,7.403468317469897,3.007309786087228,3.2147030189976933,3.832135873514953,3.263370729071408,3.7039413407630417,3.381853691479626,3.2541137292080946,3.3281635356812176,3.1899016352402234,3.024880777593962,4.815177590170644,3.145909328452056,2.174833979283829,2.174833979283829,2.1255003914966752,12.51844637293368,2.202284275042224,2.074177193011581,2.4591021190550864,2.250378608596317,2.250378608596317,7.373621107357078,2.255430470259032,2.638468418829018,2.085174137839972,12.518071564318946,4.479126825014776,12.528904272816794,
9,bitcoin_dataset_without_missing_values_18.csv,Daily,True,False,False,True,True,60.470897644940095,2.962977948978045,2.839681170094093,,3.3810355024703003,3.902773253961696,2.258388626671365,3.959001577087513,4.746053359893376,6.452861223207823,9.986388076946657,3.628945864416425,3.0136079484862752,3.293286458980647,2.646301933131652,3.657254639023808,74.91394719821696,2.5057282500865115,2.99798109146237,3.7272751860461018,3.18414663213749,3.18414663213749,64.09914452754309,3.322926631410914,2.824431829133051,2.8922927379460552,74.90323908922433,3.039424776398543,75.08369494645021,
