file_name,freq,Trend,Seasonality,Stationarity,Transition,Shifting,Non-stationary Transformers,Crossformer,Arima,Block RNN,Kalman Filter,Linear Regression,Naive Drift,Naive Mean,Naive Moving Average,Naive Seasonal,N-BEATS,N-HiTS,Random Forest,RNN,Statsforecast Autoces,Statsforecast Autoets,Statsforecast Autotheta,TCN,TiDE,Xgboost,DLinear,FEDformer,FiLM,Informer,Linear,NLinear,Non-stationary Transformers,PatchTST,TimesNet,Triformer,Lightgbm
bitcoin_dataset_without_missing_values_6.csv,Daily,TRUE,FALSE,FALSE,FALSE,TRUE,,199.2804206,7.326779881,6.369009177,6.399577018,8.996714377,13.74811523,7.436076153,6.818982419,7.962633497,199.3456428,5.521010705,12.57498871,9.478326422,6.500584495,6.674721539,25.64999423,11.59790201,8.291773651,7.308705775,12.56319599,,,,,,,,,,
bitcoin_dataset_without_missing_values_7.csv,Daily,FALSE,FALSE,TRUE,TRUE,FALSE,82.39883795,83.61590804,82.15954174,86.6879642,99.39529889,93.45720577,67.65027635,87.3350272,103.6974761,89.35696301,102.4623838,91.88973293,82.40382352,138.6310782,78.32723745,87.43504061,103.4141142,87.02469785,117.2803418,92.60599822,92.2772128,,,,,,,,,,
bitcoin_dataset_without_missing_values_8.csv,Daily,TRUE,FALSE,TRUE,TRUE,TRUE,18.13731411,66.75289873,199.4826064,13.44084834,82.37843448,199.9594256,163.577986,25.03200247,13.63089068,46.37940868,152.8084734,7.866973035,19.07763386,145.5530428,9.40531732,121.4221475,196.457452,56.53577798,6.435660735,8.814909444,9.667903959,,,,,,,,,,
bitcoin_dataset_without_missing_values_9.csv,Daily,TRUE,FALSE,TRUE,TRUE,FALSE,78.12471659,72.89721041,77.15343757,66.7232751,77.50286833,79.10574947,93.82201046,64.69595302,73.37892986,78.360748,97.21102322,61.04791078,67.4387377,97.68371386,59.1920915,67.90705071,100.7501683,70.56372274,96.86591375,73.76180505,88.97804474,,,,,,,,,,
economics_80.csv,Daily,FALSE,FALSE,FALSE,TRUE,FALSE,,65.98661533,11.49742965,9.34128502,11.3908559,15.60853244,12.59320954,11.25337006,9.131579089,18.66657437,129.9946268,9.065702329,19.16079565,8.034162932,11.37029533,8.286755141,22.48022058,20.96869732,10.95070269,8.57025152,19.10401308,,,,,,,,,,
economics_83.csv,Daily,FALSE,FALSE,FALSE,TRUE,FALSE,19.70683476,163.129035,16.95875829,14.40695863,14.89511263,19.50050424,10.12393056,15.03093177,13.58434205,17.78504106,185.1839108,11.01145544,23.02331308,27.86218013,14.4367192,13.71701665,41.09262758,24.82652788,19.50566477,8.270457081,20.03125454,,,,,,,,,,
economics_86.csv,Daily,FALSE,FALSE,FALSE,TRUE,FALSE,,184.2414551,21.46557624,20.47755428,20.35173787,16.16137255,21.74632352,20.97908903,19.23964385,19.76275402,193.9749571,18.105184,18.8966593,21.06397198,18.97765079,20.55115894,56.13691716,29.12897282,19.29738452,16.17129736,18.05783853,,,,,,,,,,
finance_83.csv,Daily,TRUE,FALSE,FALSE,TRUE,TRUE,1.438476407,2.635842526,1.43805119,1.492944231,1.684121426,1.358199431,1.176516593,1.19534533,1.533572135,1.344805094,19.25285994,1.427491069,1.253395151,0.74317166,1.357077774,0.851740225,4.976641454,4.134451945,0.782847244,0.695245393,1.162516648,,,,,,,,,,
m4_Daily_dataset_1002.csv,Daily,FALSE,TRUE,TRUE,TRUE,FALSE,,172.426223,5.22225277,4.889898979,4.815749721,4.92885777,4.144806481,4.237531739,4.881137491,4.85010251,188.311162,4.606551424,4.842164242,5.048137552,4.333742407,4.892133879,5.580314207,10.32829725,5.623319616,4.202615984,4.928857522,,,,,,,,,,
m4_Daily_dataset_1009.csv,Daily,TRUE,FALSE,FALSE,TRUE,TRUE,1.968281443,151.5778254,1.678748339,1.629451159,1.588342443,1.653979039,1.776797187,2.153539801,1.549657818,1.676921575,158.885062,1.451109224,1.510728255,1.654937987,1.609254454,1.576296316,51.76496515,2.54450122,1.537557513,1.365628553,1.519732176,,,,,,,,,,
m4_Daily_dataset_101.csv,Daily,TRUE,FALSE,FALSE,FALSE,TRUE,3.41362194,197.6425831,3.652904605,3.361482684,2.970279823,3.571244766,2.150942684,3.955227485,3.007262174,3.810284574,199.0211655,3.091832105,3.462387143,3.338056017,3.317017342,2.434258244,34.10460889,13.77646983,3.819495947,2.155440414,3.520481183,,,,,,,,,,
m4_Daily_dataset_1012.csv,Daily,FALSE,FALSE,FALSE,TRUE,FALSE,3.468751979,118.1939495,3.016149389,2.590748927,2.765398227,2.645337347,3.044583122,1.872297033,2.846034193,2.543691415,129.3758181,1.908817297,2.576457321,2.675095385,2.974574392,2.510470623,9.866535764,1.997607531,2.63350487,1.035431813,2.583544885,,,,,,,,,,
m4_Daily_dataset_1014.csv,Daily,TRUE,FALSE,FALSE,TRUE,TRUE,,151.3231702,1.721535835,1.591015549,1.380543512,1.68093819,2.34351406,1.176874091,1.546000443,1.800858944,159.0318535,1.437345742,1.550141428,1.015694991,1.556097148,1.573813231,70.96268587,3.027335808,1.828529402,1.357399292,1.64523001,,,,,,,,,,
m4_Daily_dataset_1022.csv,Daily,TRUE,TRUE,FALSE,TRUE,TRUE,3.356121256,182.8750744,2.953250864,3.414264271,4.335311479,3.369045607,2.99626143,3.303969003,3.555211401,3.38877865,187.8724087,2.917329575,3.341053378,5.17163992,2.459269131,3.403102891,19.99836175,1.935068597,4.843692068,1.717265778,3.369105983,,,,,,,,,,
m4_Daily_dataset_1024.csv,Daily,TRUE,FALSE,FALSE,TRUE,TRUE,0.885165338,189.0851064,1.018220806,0.644624434,0.72410835,0.724813209,1.685861605,1.478098629,0.729003841,0.796260853,190.7999275,0.672027382,0.817243272,2.909353627,0.611478781,0.592908142,42.99062487,2.111234177,1.020649725,1.057809888,0.724767016,,,,,,,,,,
m4_Daily_dataset_1025.csv,Daily,FALSE,FALSE,FALSE,TRUE,FALSE,9.294866679,79.00829065,7.129489493,5.68258541,7.020948908,5.170992821,6.978813474,4.704455542,6.661632946,5.329535706,104.5080914,5.476845534,5.035251661,9.031201595,5.739219913,4.920145681,49.90083725,3.856185032,8.458490625,4.411809723,5.329537256,,,,,,,,,,
m4_Daily_dataset_1027.csv,Daily,FALSE,FALSE,TRUE,TRUE,TRUE,,154.8591744,2.201929625,1.750152637,3.926522202,1.428701169,2.132609011,2.138421469,2.28316831,1.872013087,171.7595128,2.314973302,1.773022669,2.99343646,2.675882616,2.509216229,10.58402115,3.693340592,2.056072972,2.064738557,1.456300669,,,,,,,,,,
m4_Daily_dataset_1028.csv,Daily,FALSE,FALSE,TRUE,TRUE,TRUE,,158.68012,2.500673989,1.685709806,4.046501142,1.434643936,2.044927929,1.900765398,2.263505327,1.885732947,174.2489777,2.032363727,1.683852758,1.210206273,2.530398336,2.486242874,21.49064914,3.63628772,1.313699395,2.602795242,1.456471955,,,,,,,,,,
m4_Daily_dataset_1037.csv,Daily,TRUE,TRUE,FALSE,FALSE,TRUE,,141.7128225,4.318342921,6.247991936,4.975948795,4.698980582,5.732245079,6.182146137,5.188630177,5.26320749,162.9685405,6.210839432,4.826232764,2.606286715,7.140593099,4.504661824,24.17889998,7.341990554,5.094037994,5.794344203,4.728016545,,,,,,,,,,
m4_Daily_dataset_1041.csv,Daily,FALSE,FALSE,FALSE,TRUE,FALSE,1.386334613,140.8611212,2.157728145,1.846835163,1.85166369,1.649027891,1.799855086,1.570068549,1.691995918,1.760539711,155.1694901,1.955076147,1.545195922,1.32472389,2.265488496,1.742693804,27.86562082,3.161886816,0.982599247,2.975990624,1.554643627,,,,,,,,,,
m4_Daily_dataset_1045.csv,Daily,FALSE,FALSE,FALSE,TRUE,FALSE,3.609761241,148.0334544,3.199991276,3.003543714,3.452777692,2.380853713,3.444737286,1.813387473,3.349603945,2.643827537,160.8092367,2.46330759,2.338058962,2.549154082,3.662355386,2.982432017,36.69170561,4.066014798,1.600108031,5.004051297,2.078389939,,,,,,,,,,
