publication,ICLR,ICLR,ICML,AAAI,IJCAI,AAAI,AAAI,ICLR,ICLR,arXiv,NeurIPS,arXiv,Wiley,Economet Rev,ICLR,ICLR,ICLR,NeurIPS,ICLR,KDD,ICLR
bib,https://dblp.org/rec/conf/iclr/NieNSK23.html?view=bibtex,https://dblp.org/rec/conf/iclr/ZhangY23.html?view=bibtex,https://dblp.org/rec/conf/icml/ZhouMWW0022.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZhouZPZLXZ21.html?view=bibtex,https://dblp.org/rec/conf/ijcai/CirsteaG0KDP22.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.org/rec/conf/iclr/Wang0HWCX23.html?view=bibtex,https://dblp.org/rec/conf/iclr/WuHLZ0L23.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-1803-01271.html?view=bibtex,https://dblp.org/rec/conf/nips/ZhouMWW0YY022.html?view=bibtex,https://proceedings.mlr.press/v89/gasthaus19a.html,https://books.google.com/books?hl=zh-CN&lr=&id=8r0qE35wt44C&oi=fnd&pg=PR5&dq=Regression+models+for+time+series+analysis&ots=vd653g9LXv&sig=JPr8C-hETsPfWyuxTUlWgL0eKDA,https://www.tandfonline.com/doi/abs/10.1080/07474939408800286,https://dblp.org/rec/journals/corr/abs-2310-06625.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2307-03756.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2405-14616.html?view=bibtex,https://dblp.org/rec/conf/nips/LiuWWL22.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2402-05956.html?view=bibtex,,https://dblp.uni-trier.de/rec/conf/iclr/0001WLLB0X24.html?view=bibtex
year,2023,2023,2022,2021,2022,2023,2023,2022,2023,2018,2022,2019,2005,1994,2024,2024,2024,2022,2024,2025,2024
Traffic/PEMS_BAY-192-mae,0.394,0.308,0.714,0.47,0.515,0.419,0.42,0.444,0.379,0.668,0.401,1.495,1.176,0.545,0.34,0.419,0.394,0.455,0.332,0.309,0.381
Traffic/PEMS_BAY-192-mse,0.649,0.477,1.217,0.9,0.882,0.666,0.687,0.767,0.594,1.518,0.68,4.064,2.776,0.863,0.547,0.684,0.65,0.931,0.551,0.485,0.64
Traffic/PEMS_BAY-336-mae,0.412,0.326,0.689,0.454,0.498,0.436,0.437,0.468,0.382,0.565,0.418,1.567,1.071,0.581,0.355,0.439,0.416,0.442,0.351,0.32,0.4
Traffic/PEMS_BAY-336-mse,0.7,0.495,1.184,0.844,0.848,0.709,0.735,0.903,0.609,1.166,0.728,4.342,2.31,0.966,0.58,0.735,0.701,0.841,0.596,0.52,0.69
Traffic/PEMS_BAY-720-mae,0.46,0.364,0.642,0.508,0.535,0.508,0.514,0.634,0.403,0.581,0.418,1.645,0.959,0.617,0.391,0.511,0.472,0.502,0.4,0.333,0.449
Traffic/PEMS_BAY-720-mse,0.843,0.605,1.082,1.013,0.934,0.869,0.924,1.119,0.678,1.137,0.728,4.715,1.844,1.082,0.662,0.92,0.839,1.043,0.713,0.548,0.822
Traffic/METR_LA-96-mae,0.621,0.595,0.813,0.679,0.648,0.657,0.651,0.729,0.66,0.748,0.697,1.384,1.968,0.706,0.633,0.671,0.624,0.635,0.569,0.578,0.636
Traffic/METR_LA-96-mse,1.054,1.15,1.464,1.366,1.056,1.004,1.042,1.195,1.258,1.58,1.287,3.427,7.219,1.1,1.077,1.049,1.071,1.216,1.158,1.21,1.01
Traffic/METR_LA-192-mae,0.676,0.655,0.999,0.712,0.721,0.715,0.72,0.729,0.688,0.773,0.697,1.563,1.955,0.754,0.69,0.733,0.661,0.693,0.631,0.626,0.722
Traffic/METR_LA-192-mse,1.177,1.35,2.042,1.558,1.226,1.141,1.218,1.309,1.287,1.63,1.287,4.118,6.797,1.276,1.267,1.212,1.204,1.467,1.378,1.256,1.206
Traffic/METR_LA-336-mae,0.725,0.687,0.889,0.719,0.739,0.742,0.756,0.773,0.683,0.747,0.741,1.609,1.762,0.786,0.73,0.771,0.742,0.703,0.671,0.663,0.731
Traffic/METR_LA-336-mse,1.259,1.41,1.672,1.595,1.286,1.238,1.334,1.332,1.475,1.604,1.334,4.296,5.511,1.375,1.397,1.329,1.31,1.548,1.471,1.445,1.327
Traffic/METR_LA-720-mae,0.793,0.736,0.963,0.806,0.789,0.792,0.886,0.793,0.797,0.778,0.822,1.724,1.382,0.817,0.826,0.892,0.815,0.8,0.724,0.721,0.821
Traffic/METR_LA-720-mse,1.433,1.526,2.015,1.833,1.434,1.41,1.683,1.501,1.7,1.771,1.602,4.809,3.472,1.478,1.676,1.645,1.516,1.859,1.668,1.632,1.557
Traffic/PEMS04-96-mae,0.282,0.236,0.571,0.308,0.37,0.295,0.301,0.308,0.214,0.279,0.298,0.664,0.474,0.313,0.23,0.545,0.299,0.304,0.238,0.196,0.274
Traffic/PEMS04-96-mse,0.169,0.122,0.598,0.226,0.268,0.197,0.208,0.226,0.113,0.159,0.207,0.803,0.428,0.192,0.125,0.466,0.198,0.192,0.139,0.101,0.165
Traffic/PEMS04-192-mae,0.309,0.271,0.795,0.308,0.385,0.31,0.312,0.308,0.23,0.291,0.308,0.89,0.497,0.336,0.249,0.615,0.312,0.333,0.268,0.209,0.289
Traffic/PEMS04-192-mse,0.202,0.173,0.996,0.226,0.304,0.214,0.229,0.226,0.128,0.182,0.221,1.326,0.465,0.216,0.145,0.559,0.216,0.232,0.181,0.114,0.185
Traffic/PEMS04-336-mae,0.315,0.307,0.795,0.308,0.377,0.327,0.331,0.46,0.235,0.323,0.298,0.978,0.519,0.362,0.263,0.687,0.344,0.332,0.279,0.213,0.304
Traffic/PEMS04-336-mse,0.211,0.208,1.047,0.226,0.285,0.236,0.251,0.383,0.132,0.205,0.207,1.51,0.513,0.245,0.158,0.687,0.257,0.245,0.192,0.12,0.206
Traffic/PEMS04-720-mae,0.352,0.362,0.795,0.308,0.385,0.392,0.398,0.633,0.256,0.382,0.298,1.012,0.658,0.409,0.3,0.736,0.395,0.432,0.31,0.234,0.353
Traffic/PEMS04-720-mse,0.257,0.279,1.047,0.226,0.312,0.324,0.346,0.675,0.152,0.308,0.207,1.574,0.831,0.298,0.195,0.78,0.321,0.401,0.219,0.135,0.263
Traffic/PEMS08-96-mae,0.287,0.26,0.584,0.42,0.391,0.329,0.327,0.412,0.237,0.468,0.33,0.944,4.198,0.363,0.235,0.37,0.233,0.369,0.239,0.205,0.288
Traffic/PEMS08-96-mse,0.248,0.23,0.717,0.386,0.382,0.32,0.34,0.391,0.282,0.505,0.349,1.628,78.523,0.267,0.194,0.458,0.188,0.353,0.228,0.184,0.275
Traffic/PEMS08-192-mae,0.31,0.264,0.867,0.501,0.43,0.353,0.353,0.507,0.264,0.457,0.352,1.353,4.919,0.435,0.255,0.406,0.253,0.42,0.256,0.202,0.31
Traffic/PEMS08-192-mse,0.319,0.239,1.301,0.589,0.451,0.379,0.45,0.517,0.344,0.455,0.428,2.906,52.019,0.393,0.288,0.499,0.268,0.508,0.33,0.242,0.359
Traffic/PEMS08-336-mae,0.324,0.289,1.142,0.457,0.415,0.374,0.369,0.479,0.277,0.634,0.374,1.294,3.205,0.474,0.276,0.446,0.265,0.423,0.266,0.212,0.335
Traffic/PEMS08-336-mse,0.361,0.272,2.222,0.568,0.438,0.415,0.454,0.494,0.381,0.952,0.463,2.683,20.396,0.467,0.345,0.555,0.35,0.568,0.36,0.298,0.418
Traffic/PEMS08-720-mae,0.368,0.316,0.818,0.54,0.45,0.437,0.429,0.647,0.308,0.515,0.434,1.388,2.331,0.556,0.318,0.494,0.324,0.543,0.304,0.254,0.369
Traffic/PEMS08-720-mse,0.399,0.32,1.227,0.739,0.496,0.483,0.494,0.776,0.375,0.625,0.498,2.969,10.68,0.591,0.366,0.568,0.353,0.811,0.37,0.353,0.429
Environment/AQShunyi-96-mae,0.478,0.484,0.525,0.542,0.492,0.492,0.486,0.512,0.488,0.575,0.486,1.315,0.489,0.517,0.479,0.485,0.483,0.518,0.472,0.468,0.481
Environment/AQShunyi-96-mse,0.646,0.652,0.706,0.754,0.665,0.651,0.653,0.695,0.658,0.867,0.664,3.747,0.633,0.684,0.647,0.655,0.654,0.771,0.667,0.67,0.647
Environment/AQShunyi-192-mae,0.498,0.499,0.531,0.536,0.501,0.512,0.506,0.53,0.512,0.582,0.504,1.361,0.508,0.552,0.498,0.503,0.498,0.53,0.491,0.486,0.499
Environment/AQShunyi-192-mse,0.688,0.674,0.729,0.759,0.681,0.691,0.701,0.722,0.707,0.88,0.705,3.809,0.673,0.746,0.693,0.698,0.7,0.775,0.707,0.698,0.69
Environment/AQShunyi-336-mae,0.513,0.515,0.569,0.56,0.525,0.529,0.519,0.544,0.538,0.574,0.517,1.389,0.522,0.578,0.51,0.515,0.511,0.548,0.503,0.496,0.512
Environment/AQShunyi-336-mse,0.71,0.704,0.824,0.837,0.731,0.716,0.722,0.729,0.786,0.838,0.725,3.877,0.702,0.794,0.713,0.717,0.714,0.819,0.732,0.733,0.708
Environment/AQShunyi-720-mae,0.538,0.518,0.561,0.543,0.534,0.556,0.545,0.549,0.528,0.615,0.544,1.402,0.544,0.624,0.538,0.54,0.534,0.547,0.515,0.518,0.537
Environment/AQShunyi-720-mse,0.77,0.747,0.794,0.777,0.742,0.765,0.777,0.789,0.756,0.94,0.782,3.901,0.749,0.877,0.764,0.774,0.756,0.793,0.783,0.77,0.765
Environment/AQWan-96-mae,0.468,0.465,0.508,0.522,0.474,0.481,0.475,0.496,0.486,0.548,0.475,0.991,0.476,5.06E-01,0.47,0.473,0.468,0.508,0.458,0.45,0.469
Environment/AQWan-96-mse,0.745,0.75,0.796,0.902,0.762,0.756,0.758,0.789,0.787,0.92,0.766,2.568,0.73,0.775,0.747,0.757,0.744,0.872,0.761,0.744,0.747
Environment/AQWan-192-mae,0.49,0.479,0.517,0.521,0.484,0.502,0.496,0.518,0.489,0.56,0.494,1.043,0.496,0.543,0.49,0.492,0.488,0.524,0.478,0.47,0.489
Environment/AQWan-192-mse,0.793,0.762,0.825,0.833,0.786,0.8,0.809,0.819,0.778,0.942,0.809,2.72,0.77,0.841,0.787,0.806,0.804,0.86,0.801,0.794,0.794
Environment/AQWan-336-mae,0.502,0.504,0.537,0.525,0.495,0.516,0.508,0.525,0.505,0.664,0.505,1.069,0.509,0.57,0.497,0.504,0.5,0.532,0.488,0.48,0.5
Environment/AQWan-336-mse,0.819,0.802,0.863,0.847,0.802,0.823,0.83,0.826,0.815,1.372,0.831,2.799,0.801,0.893,0.814,0.826,0.813,0.864,0.821,0.808,0.817
Environment/AQWan-720-mae,0.533,0.512,0.552,0.532,0.519,0.548,0.538,0.544,0.519,0.67,0.536,1.087,0.533,0.618,0.529,0.532,0.522,0.526,0.506,0.505,0.527
Environment/AQWan-720-mse,0.89,0.829,0.907,0.883,0.852,0.891,0.906,0.875,0.869,1.266,0.906,2.868,0.859,0.988,0.889,0.9,0.878,0.897,0.888,0.88,0.885
Energy/Wind-96-mae,0.639,0.59,0.698,0.674,0.612,0.632,0.64,0.627,0.658,0.745,0.649,0.951,0.583,0.62,0.646,0.647,0.629,0.668,0.624,0.614,0.645
Energy/Wind-96-mse,0.881,0.784,1.033,0.954,0.845,0.881,0.923,0.875,1.017,1.132,0.933,1.77,0.786,0.855,0.901,0.903,0.925,1.038,0.895,0.867,0.898
Energy/Wind-192-mae,0.74,0.697,0.805,0.763,0.692,0.715,0.734,0.719,0.749,0.828,0.743,1.216,0.67,0.711,0.74,0.741,0.738,0.786,0.729,0.695,0.74
Energy/Wind-192-mse,1.069,0.977,1.28,1.146,1.03,1.034,1.081,1.066,1.196,1.324,1.097,2.617,0.947,1.032,1.085,1.089,1.086,1.277,1.131,0.997,1.087
Energy/Wind-336-mae,0.802,0.755,0.859,0.826,0.749,0.779,0.805,0.782,0.823,0.864,0.809,1.353,0.729,0.767,0.805,0.806,0.803,0.832,0.782,0.759,0.804
Energy/Wind-336-mse,1.202,1.073,1.295,1.312,1.139,1.159,1.228,1.164,1.325,1.371,1.241,3.088,1.069,1.15,1.222,1.231,1.22,1.267,1.219,1.136,1.229
Energy/Wind-720-mae,0.846,0.803,0.89,0.862,0.784,0.815,0.852,0.82,0.888,0.881,0.852,1.488,0.775,0.807,0.852,0.851,0.839,0.866,0.862,0.796,0.851
Energy/Wind-720-mse,1.3,1.191,1.406,1.318,1.172,1.233,1.328,1.245,1.475,1.387,1.334,3.609,1.169,1.232,1.327,1.326,1.307,1.327,1.421,1.209,1.321
Nature/ZafNoo-96-mae,0.405,0.418,0.449,0.475,0.419,0.411,0.41,0.421,0.419,0.472,0.411,1.954,0.401,6.05E+167,0.408,0.412,0.398,0.449,0.391,0.385,0.401
Nature/ZafNoo-96-mse,0.429,0.43,0.474,0.541,0.441,0.434,0.447,0.442,0.478,0.529,0.451,10.599,0.412,inf,0.439,0.449,0.447,0.524,0.435,0.432,0.438
Nature/ZafNoo-192-mae,0.445,0.449,0.479,0.573,0.451,0.447,0.447,0.455,0.445,0.469,0.448,2.315,0.438,,0.443,0.447,0.44,0.475,0.432,0.425,0.44
Nature/ZafNoo-192-mse,0.495,0.479,0.544,0.704,0.493,0.487,0.503,0.493,0.491,0.536,0.508,15.06,0.472,,0.505,0.509,0.495,0.563,0.501,0.488,0.498
Nature/ZafNoo-336-mae,0.473,0.464,0.523,0.656,0.467,0.465,0.47,0.455,0.48,0.509,0.471,2.467,0.454,,0.473,0.468,0.466,0.501,0.461,0.468,0.463
Nature/ZafNoo-336-mse,0.546,0.505,0.628,0.84,0.523,0.518,0.545,0.504,0.551,0.628,0.549,16.95,0.506,,0.555,0.544,0.543,0.614,0.551,0.533,0.545
Nature/ZafNoo-720-mae,0.486,0.494,0.562,0.699,0.491,0.485,0.497,0.476,0.511,0.506,0.504,2.57,0.476,,0.501,0.491,0.497,0.539,0.483,0.481,0.486
Nature/ZafNoo-720-mse,0.573,0.56,0.653,0.876,0.564,0.543,0.589,0.54,0.626,0.591,0.598,18.28,0.554,,0.591,0.585,0.58,0.696,0.596,0.566,0.58
Nature/CzeLan-96-mae,0.232,0.443,0.311,0.296,0.519,0.289,0.228,0.275,0.239,0.501,0.232,1.372,0.262,0.351,0.239,0.243,0.23,0.296,0.213,0.197,0.232
Nature/CzeLan-96-mse,0.176,0.581,0.231,0.238,0.818,0.211,0.178,0.194,0.179,0.522,0.18,4.175,0.184,0.302,0.177,0.187,0.175,0.24,0.172,0.163,0.177
Nature/CzeLan-192-mae,0.259,0.503,0.345,0.34,0.589,0.323,0.252,0.362,0.28,1.077,0.255,1.478,0.3,0.401,0.257,0.263,0.254,0.315,0.236,0.221,0.252
Nature/CzeLan-192-mse,0.206,0.705,0.276,0.299,0.962,0.252,0.21,0.275,0.216,2.173,0.212,4.608,0.222,0.368,0.201,0.214,0.205,0.28,0.207,0.192,0.205
Nature/CzeLan-336-mae,0.286,0.596,0.363,0.366,0.659,0.366,0.28,0.359,0.313,0.805,0.281,1.534,0.357,0.454,0.282,0.292,0.274,0.341,0.262,0.246,0.277
Nature/CzeLan-336-mse,0.236,0.971,0.298,0.351,1.161,0.317,0.243,0.309,0.265,1.405,0.243,4.924,0.287,0.443,0.232,0.247,0.227,0.311,0.24,0.223,0.232
Nature/CzeLan-720-mae,0.316,0.762,0.435,0.416,0.741,0.392,0.326,0.395,0.338,3.209,0.312,1.574,0.445,0.524,0.311,0.329,0.314,0.379,0.298,0.275,0.31
Nature/CzeLan-720-mse,0.27,1.566,0.401,0.384,1.496,0.358,0.29,0.358,0.283,18.248,0.282,5.12,0.405,0.544,0.261,0.291,0.277,0.328,0.288,0.253,0.273
Health/Covid19-24-mae,0.042,2.338,0.177,0.08,2.398,0.24,0.07,0.469,0.064,76.886,0.047,3.15,0.727,7.056,0.038,0.104,0.087,0.062,0.058,0.038,0.042
Health/Covid19-24-mse,1.045,1770.217,2.125,2.687,1768.851,9.587,1.139,38.5,2.215,10939.563,1.183,1777.889,80.511,57596.812,1.001,4.934,2.781,2.234,1.424,0.963,1.072
Health/Covid19-36-mae,0.051,2.346,0.177,0.087,2.435,0.173,0.091,0.489,0.081,86.115,0.059,3.158,0.644,10.333,0.042,0.113,0.093,0.076,0.085,0.042,0.052
Health/Covid19-36-mse,1.397,1770.939,2.463,3.071,1767.238,5.333,1.582,45.425,2.531,16958.629,1.47,1778.318,51.959,92891.437,1.236,4.935,2.877,2.408,3.109,1.27,1.42
Health/Covid19-48-mae,0.062,2.45,0.192,0.094,2.646,0.246,0.099,0.566,0.079,118.071,0.069,3.168,0.635,11.473,0.056,0.131,0.138,0.083,0.096,0.05,0.064
Health/Covid19-48-mse,1.769,1773.447,2.847,3.548,1770.076,9.598,1.932,46.565,2.672,27384.882,1.859,1778.639,52.277,85472.253,1.71,5.927,9.916,2.705,4.543,1.703,1.872
Health/Covid19-60-mae,0.068,2.486,0.212,0.104,3.074,0.297,0.127,0.616,0.085,111.964,0.078,3.178,0.737,15.914,0.062,0.145,0.215,0.093,0.105,0.06,0.071
Health/Covid19-60-mse,2.216,1772.833,3.275,4.052,1778.485,7.778,2.682,77.972,3.018,24774.501,2.278,1778.912,102.415,95662.758,2.005,6.88,36.191,3.285,4.227,2.139,2.255
Stock/NASDAQ-24-mae,0.567,0.745,0.494,0.727,1.334,0.658,0.522,0.63,0.533,1.594,0.645,0.781,0.616,0.462,0.54,0.645,0.612,0.607,0.568,0.503,0.541
Stock/NASDAQ-24-mse,0.649,1.149,0.577,1.075,2.737,0.844,0.557,0.776,0.587,3.268,0.767,1.365,0.774,0.516,0.57,0.709,0.72,0.655,0.572,0.489,0.611
Stock/NASDAQ-36-mae,0.682,0.885,0.628,0.897,1.534,0.744,0.668,0.837,0.664,1.656,0.835,0.903,0.803,0.653,0.635,0.778,0.699,0.695,0.683,0.604,0.683
Stock/NASDAQ-36-mse,0.821,1.414,0.808,1.411,3.387,1.088,0.869,1.322,0.792,3.742,1.379,1.683,1.223,0.92,0.81,1.058,0.951,0.991,0.836,0.65,0.862
Stock/NASDAQ-48-mae,0.793,1.136,0.746,0.863,1.555,0.914,0.77,0.977,0.783,1.861,0.829,1.011,0.893,0.805,0.773,0.834,0.795,0.814,0.798,0.706,0.803
Stock/NASDAQ-48-mse,1.169,2.108,1.137,1.289,3.425,1.598,1.152,1.788,1.216,4.208,1.179,2.007,1.54,1.366,1.188,1.255,1.214,1.26,1.227,0.942,1.235
Stock/NASDAQ-60-mae,0.828,1.201,0.783,0.829,1.537,1.042,0.809,1.131,0.768,1.919,0.853,1.102,0.964,0.879,0.82,0.818,0.817,0.819,0.855,0.775,0.841
Stock/NASDAQ-60-mse,1.268,2.276,1.251,1.158,3.313,2.069,1.284,2.311,1.22,4.63,1.303,2.31,1.753,1.619,1.325,1.153,1.136,1.119,1.421,1.065,1.426
Stock/NYSE-24-mae,0.296,0.841,0.251,0.349,1.258,0.361,0.283,0.475,0.335,1.008,0.364,0.599,0.422,0.279,0.302,0.41,0.369,0.342,0.814,0.28,0.331
Stock/NYSE-24-mse,0.226,0.82,0.156,0.276,2.353,0.271,0.193,0.44,0.267,1.257,0.313,0.543,0.428,0.198,0.225,0.301,0.253,0.249,1.102,0.195,0.261
Stock/NYSE-36-mae,0.389,0.904,0.343,0.417,1.54,0.447,0.356,0.635,0.41,1.341,0.415,0.693,0.567,0.416,0.409,0.517,0.621,0.403,1.002,0.367,0.406
Stock/NYSE-36-mse,0.38,0.942,0.288,0.407,3.338,0.427,0.315,0.733,0.376,2.469,0.39,0.688,0.66,0.394,0.392,0.497,0.638,0.371,1.598,0.338,0.385
Stock/NYSE-48-mae,0.492,0.955,0.457,0.496,1.733,0.543,0.438,0.663,0.506,1.071,0.48,0.749,0.701,0.545,0.48,0.633,0.663,0.468,1.116,0.435,0.562
Stock/NYSE-48-mse,0.575,1.049,0.477,0.567,4.248,0.603,0.464,0.768,0.573,1.587,0.538,0.782,0.944,0.62,0.529,0.741,0.747,0.521,1.91,0.468,0.689
Stock/NYSE-60-mae,0.572,0.937,0.543,0.67,1.846,0.712,0.522,0.843,0.629,1.456,0.563,0.782,0.848,0.673,0.557,0.757,0.807,0.543,1.188,0.533,0.616
Stock/NYSE-60-mse,0.749,1.121,0.644,0.899,4.696,0.958,0.631,1.204,0.776,3.218,0.721,0.838,1.319,0.894,0.687,1.036,1.027,0.686,2.123,0.655,0.81
Economic/FRED_MD-24-mae,0.962,3.559,1.623,1.562,5.049,1.07,0.931,1.521,1.265,19.418,1.145,4.976,7.689,44.514,0.917,1.374,0.93,1.238,1.142,0.87,0.936
Economic/FRED_MD-24-mse,32.808,385.599,66.09,70.054,395.947,37.898,32.125,63.217,43.219,1251.242,40.183,396.373,439.73,8076.984,28.581,56.779,29.132,47.852,43.434,24.805,30.949
Economic/FRED_MD-36-mae,1.345,3.716,1.863,1.86,5.21,1.477,1.258,1.945,1.531,8.896,1.67,5.066,7.024,45.036,1.276,1.774,1.33,1.493,1.441,1.289,1.276
Economic/FRED_MD-36-mse,61.035,398.728,94.359,101.858,412.165,71.047,58.332,102.8,69.554,495.997,90.434,411.159,442.815,8561.171,54.221,97.396,58.77,68.14,70.37,54.694,56.87
Economic/FRED_MD-48-mae,1.648,3.939,2.135,2.147,5.234,2.002,1.609,2.362,1.81,10.059,2.119,5.122,6.471,42.856,1.607,2.183,1.632,1.736,1.728,1.639,1.615
Economic/FRED_MD-48-mse,91.835,414.353,129.798,137.941,423.926,118.579,82.184,147.405,95.071,589.816,131.081,424.315,446.561,7960.835,89.574,145.471,90.283,92.906,96.827,87.324,88.24
Economic/FRED_MD-60-mae,1.958,4.093,2.435,2.46,5.299,2.221,1.882,2.8,1.976,6.782,2.397,5.141,5.911,42.948,1.947,2.523,1.865,1.929,2.023,1.774,1.884
Economic/FRED_MD-60-mse,127.018,422.864,173.616,184.741,432.464,156.844,109.625,202.988,116.341,438.745,180.367,431.908,444.686,8564.82,130.061,196.613,126.438,117.755,134.397,105.604,131.531
Banking/NN5-24-mae,0.596,0.591,0.618,0.949,0.929,0.594,0.592,0.589,0.579,0.749,0.651,0.742,0.622,0.902,0.568,0.663,0.574,0.9,0.602,0.562,0.579
Banking/NN5-24-mse,0.74,0.741,0.785,1.362,1.382,0.752,0.758,0.728,0.739,1.06,0.846,1.066,0.785,1.442,0.727,0.87,0.723,1.274,0.769,0.719,0.736
Banking/NN5-36-mae,0.595,0.589,0.606,0.944,0.92,0.578,0.577,0.562,0.585,0.826,0.702,0.744,0.603,0.898,0.552,0.655,0.557,0.93,0.583,0.539,0.567
Banking/NN5-36-mse,0.694,0.703,0.727,1.341,1.352,0.69,0.693,0.658,0.717,1.19,0.883,1.068,0.725,1.41,0.664,0.814,0.657,1.318,0.701,0.65,0.676
Banking/NN5-48-mae,0.585,0.575,0.555,0.942,0.918,0.573,0.587,0.562,0.558,0.751,0.741,0.749,0.596,0.911,0.543,0.644,0.55,0.905,0.573,0.531,0.538
Banking/NN5-48-mse,0.667,0.669,0.623,1.337,1.348,0.665,0.688,0.646,0.647,0.981,0.969,1.082,0.7,1.436,0.633,0.78,0.63,1.277,0.668,0.619,0.616
Banking/NN5-60-mae,0.582,0.587,0.559,0.945,0.918,0.575,0.587,0.564,0.547,0.735,0.556,0.763,0.594,0.919,0.537,0.65,0.543,0.927,0.57,0.525,0.533
Banking/NN5-60-mse,0.653,0.683,0.63,1.335,1.346,0.659,0.679,0.645,0.633,0.973,0.633,1.115,0.69,1.455,0.615,0.781,0.612,1.313,0.655,0.6,0.599
Web/Wike2000-24-mae,1.023,1.734,3.776,1.568,1.736,1.274,1.35,1.365,1.215,13.632,1.318,2.285,3.213,5.624,1.011,1.351,1.079,1.423,1.357,1.087,1.025
Web/Wike2000-24-mse,457.185,638.794,681.349,1221.033,639.829,556.014,1135.609,506.895,521.367,1572.547,959.454,642.201,8674.69,230416.924,453.473,669.429,447.039,845.927,664.769,456.503,475.255
Web/Wike2000-36-mae,1.115,1.808,3.237,1.657,2.101,1.355,1.388,1.596,1.201,18.817,1.419,2.381,3.148,5.71,1.132,1.44,1.221,1.595,1.431,1.249,1.137
Web/Wike2000-36-mse,511.943,692.485,716.235,1273.262,694.825,613.963,1060.939,577.706,506.339,2240.073,983.239,695.075,6915.989,174765.796,515.83,711.479,510.073,1326.986,699.269,536.516,534.349
Web/Wike2000-48-mae,1.179,1.899,3.071,1.718,2.141,1.437,1.733,1.688,1.251,15.009,1.581,2.435,3.061,5.526,1.214,1.537,1.303,1.406,1.604,1.325,1.211
Web/Wike2000-48-mse,531.901,718.072,750.082,1373.181,719.922,659.957,1899.937,612.17,523.611,1169.213,1358.26,720.057,5886.635,145730.899,578.335,757.815,542.797,720.409,847.933,564.697,569.579
Web/Wike2000-60-mae,1.244,2.021,2.953,1.808,2.152,1.51,1.57,1.804,1.329,16.285,1.582,2.463,2.991,5.551,1.402,1.615,1.402,1.578,1.717,1.417,1.287
Web/Wike2000-60-mse,554.829,730.368,786.667,1368.153,731.595,693.14,1281.245,654.767,559.841,1830.623,1157.091,731.926,5386.39,132855.621,634.948,791.442,574.808,1060.171,942.51,600.024,611.803
