publication,ICLR,ICLR,ICML,AAAI,IJCAI,AAAI,AAAI,ICLR,ICLR,arXiv,NeurIPS,arXiv,Wiley,Economet Rev,ICLR,ICLR,ICLR,NeurIPS,ICLR,KDD,ICLR
bib,https://dblp.org/rec/conf/iclr/NieNSK23.html?view=bibtex,https://dblp.org/rec/conf/iclr/ZhangY23.html?view=bibtex,https://dblp.org/rec/conf/icml/ZhouMWW0022.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZhouZPZLXZ21.html?view=bibtex,https://dblp.org/rec/conf/ijcai/CirsteaG0KDP22.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.org/rec/conf/iclr/Wang0HWCX23.html?view=bibtex,https://dblp.org/rec/conf/iclr/WuHLZ0L23.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-1803-01271.html?view=bibtex,https://dblp.org/rec/conf/nips/ZhouMWW0YY022.html?view=bibtex,https://proceedings.mlr.press/v89/gasthaus19a.html,https://books.google.com/books?hl=zh-CN&lr=&id=8r0qE35wt44C&oi=fnd&pg=PR5&dq=Regression+models+for+time+series+analysis&ots=vd653g9LXv&sig=JPr8C-hETsPfWyuxTUlWgL0eKDA,https://www.tandfonline.com/doi/abs/10.1080/07474939408800286,https://dblp.org/rec/journals/corr/abs-2310-06625.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2307-03756.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2405-14616.html?view=bibtex,https://dblp.org/rec/conf/nips/LiuWWL22.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2402-05956.html?view=bibtex,,https://dblp.uni-trier.de/rec/conf/iclr/0001WLLB0X24.html?view=bibtex
year,2023,2023,2022,2021,2022,2023,2023,2022,2023,2018,2022,2019,2005,1994,2024,2024,2024,2022,2024,2025,2024
Electricity/Electricity-96-mse,0.143,0.184,0.191,0.215,0.201,0.14,0.14,0.158,0.169,0.364,0.154,1.616,0.731,0.264,0.134,0.139,0.153,0.171,0.135,0.128,0.128
Electricity/Electricity-192-mae,0.26,0.243,0.316,0.362,0.293,0.25,0.248,0.287,0.28,0.445,0.261,1.027,0.651,0.37,0.25,0.25,0.269,0.283,0.253,0.236,0.242
Electricity/Electricity-192-mse,0.158,0.146,0.203,0.263,0.206,0.154,0.155,0.175,0.18,0.384,0.168,1.685,0.771,0.282,0.154,0.154,0.168,0.18,0.157,0.146,0.147
Electricity/Electricity-336-mae,0.267,0.264,0.333,0.416,0.293,0.268,0.264,0.296,0.293,0.452,0.284,1.041,0.818,0.38,0.265,0.268,0.291,0.305,0.267,0.254,0.26
Electricity/Electricity-336-mse,0.168,0.165,0.221,0.334,0.206,0.169,0.171,0.184,0.204,0.383,0.189,1.723,1.199,0.296,0.169,0.17,0.189,0.204,0.17,0.163,0.165
Electricity/Electricity-720-mae,0.307,0.295,0.364,0.525,0.293,0.3,0.297,0.31,0.293,0.461,0.34,1.041,0.836,0.399,0.288,0.304,0.32,0.319,0.302,0.282,0.289
Electricity/Electricity-720-mse,0.214,0.196,0.259,0.502,0.206,0.203,0.21,0.2,0.206,0.406,0.249,1.717,1.249,0.32,0.194,0.212,0.228,0.221,0.211,0.195,0.199
Health/ILI-24-mae,0.872,1.096,1.02,1.161,1.73,1.031,0.919,1.02,0.958,1.415,0.996,1.67,4.856,1.012,0.846,1.002,0.82,1.066,0.922,0.775,0.874
Health/ILI-24-mse,1.932,2.981,2.403,2.804,6.052,2.208,1.998,2.279,2.131,4.167,2.256,4.952,47.859,2.429,1.783,2.182,1.804,2.394,2.086,1.584,1.801
Health/ILI-36-mae,0.866,1.196,1.005,1.146,1.743,0.981,0.916,1.085,0.974,1.515,0.992,1.872,3.803,1.081,0.86,1.029,0.926,1.031,0.882,0.789,0.867
Health/ILI-36-mse,1.869,3.549,2.41,2.886,6.111,2.032,1.92,2.451,2.612,5.005,2.133,6.297,31.573,2.851,1.746,2.241,1.891,2.227,1.912,1.587,1.743
Health/ILI-48-mae,0.883,1.288,1.033,1.185,1.774,1.063,0.924,1.077,0.897,1.45,0.969,2.117,3.173,1.13,0.898,1.036,0.866,1.003,0.905,0.795,0.926
Health/ILI-48-mse,1.891,3.851,2.591,2.955,6.289,2.209,1.895,2.44,1.916,4.598,2.034,7.962,18.711,3.06,1.716,2.272,1.752,2.525,1.985,1.597,1.843
