Dataset,Triformer,TimesNet,PatchTST,Non-stationary Transformers,NLinear,Linear,Informer,FiLM,FEDformer,DLinear,Xgboost,TiDE,TCN,AutoTheta,AutoETS,AutoCES,RNN1,Random Forest,N-HiTS,N-BEATS,Naive Seasonal,Naive Moving Average,Naive Mean,Naive Drift,Linear Regression,Kalman Filter,RNN,Arima,Crossformer,LightGBM
Seasonality_False,16.49583805342751,1.4779827475979186,1.639327141236239,1.6383687879965119,1.7332484458816797,13.377109503776312,1.6012320486861173,1.7687326764072384,1.8786580777553394,1.9494752508701647,1.8135511292404183,2.5262133518250978,15.440953219149478,1.5032307225843096,1.5442367923558236,1.6445221734773934,23.888742633479303,1.730647592137564,1.6775864134110665,1.677341180256094,1.650405614849921,1.650405614849921,9.190609597181483,1.5944080989043372,25800387895.034657,3.3183652082052317,23.257477797236742,1.4960919187504678,23.703659108562146,3.2671628666001835
Seasonality_True,19.37824113358586,1.4462974013893872,1.6604502132982624,2.3840795743388354,2.8496839545176913,17.728347218076088,2.3899030195687194,1.8821267774407324,2.100237765191304,2.40888706700202,1.7152314575721381,2.073961078777429,24.158951476696622,3.9005037024306413,4.091002188178747,2.8449004318396267,30.231045028142425,1.649472024898541,2.188945799879305,2.0809253690884666,4.16415061756639,4.16415061756639,8.855203967444508,4.11122589083005,7882693550.166009,9.001575906244675,29.456127986370905,2.8302502551630133,29.70367280973094,3.4257132080432062
freq_Daily,10.52022334742446,1.0244327555917256,1.0786306710351936,1.142834603375654,1.2466069784328209,5.23866775488142,1.098456580433428,1.1096849494521444,1.1743650498039777,1.2751769841156628,1.2372043620728017,1.1726518481242731,7.917306212214989,1.1667187516653375,1.2096053269781688,1.2617446644939814,19.490072433818845,1.1593290622466874,0.9956864647732411,1.0650657209768173,1.2252446810711843,1.2252446810711843,5.917949840085191,1.254318391411874,1.3433329514117487,1.205584748453799,19.444340131150383,1.1093615004558464,19.945282444999005,
freq_Hourly,6.850364652757078,0.952372228677921,1.2391950563454157,1.8844584986411077,1.8654668863969228,4.780923190051124,3.0869919598606286,1.3546123439163724,1.1652066912274042,1.4574579852509812,0.9857779726727387,1.218586820725267,9.63063752355101,7.159628036702646,7.492179719809173,,12.85893487955777,0.8841621308581461,1.4937215681353864,1.115378654114573,7.244363740641161,7.244363740641161,7.321714838627729,7.15821692470407,0.8680780549839304,7.953828659118855,9.383803782714692,4.316260052034702,9.670073737012514,
freq_Monthly,13.725179559814567,1.0531376142105364,1.1173595658733373,1.8671455685833334,2.27955195318051,10.777018502310838,1.5413019916520285,1.3095062945879603,1.3921083134107244,1.764117018125197,1.2356390891089533,1.3882973637063705,20.27766055664847,2.3418276141953673,2.577187796746799,2.339487248633548,29.12194177592398,1.1483872107856774,1.5254168593424657,1.4860478294190171,2.544979941605478,2.544979941605478,5.352354041258303,2.6162157788463287,5493926683.052846,2.120300815634479,29.42703047586102,1.7251501534187237,29.54694064729975,1.6698290547232804
freq_Other,42.54437922201761,2.152681889236398,2.3066853477088194,2.6335730193532974,3.1225481231813537,48.97736690677945,2.288872644396598,3.434280786177366,3.616842052258825,3.2119876549676944,3.357875095899761,2.693929486804807,48.08682489490403,2.3583493539535167,2.2317529018120017,2.370184764325352,55.7733258178219,3.197548480525981,2.708760629256584,2.5570028790633312,2.940537511205829,2.940537511205829,30.34493586623903,2.379991999828406,2.378286350591191,2.5959082628885035,55.49167023479822,2.092689325175085,59.541341030281664,
freq_Quarterly,18.362471112306448,1.1265448631225903,1.1874455932485861,1.7289204103505231,2.216676282111469,20.01307847621172,1.3953723019219517,1.418066549888587,1.7405113568159745,1.9016575787936718,1.432685299232307,1.438154611154129,20.26306792638062,1.705781626088751,1.726010928789291,1.7765082733425037,19.244075809982156,1.4005381318384644,1.4163872748475137,1.4408471124575077,1.983987083944119,1.983987083944119,5.722240699365472,1.93951306848229,1.2106425945776045,1.9025704577765248,19.193547031841142,1.1640217598542224,19.20064792375212,2.6619653841701485
freq_Weekly,22.40379120933238,1.1820704940183113,1.2962626850025698,1.2845235278178653,1.5472064884108052,4.901666085218665,1.2074789919328923,1.4295355203350955,1.3454064407267567,1.8028414007022195,1.7213574305546138,1.757781588104839,7.649016793333219,1.615494691605561,1.5151328077789699,1.4282235032532986,44.17391564562357,1.588292432975502,1.3002388844214745,1.426402154756048,1.5552653596905521,1.5552653596905521,23.587822382750584,1.709512006894231,32.454426469469055,1.3702732224309089,43.85906982888604,1.4978448029543394,44.13867685336263,2.6696309333588832
freq_Yearly,24.29283982528565,2.9214093394219853,3.4759842404775427,3.2969273166812307,3.1142646008886463,26.08638123995085,3.3438644621565268,3.470191277120742,3.8911972013499647,3.8105216363957584,3.251150471666316,6.276740113962934,29.223707019357906,2.729046828345046,2.863799458465445,3.167521268283456,24.653648704380487,3.207943469745248,3.8698321478019584,3.7451525954129985,3.039348427203128,3.039348427203128,7.276238697863085,2.7834179516656006,95369274535.53882,19.011759727090443,24.36348829111164,3.2420488507585077,24.387403791203248,6.282508306081756
Trend_False,5.877934070837482,0.9680566172278151,1.0069141147419995,1.1273027037623056,1.3257080643056105,6.21765416534227,1.0642005301583422,1.0523368200111458,1.0766105808909372,1.1313625004829024,1.1268460029697165,1.2724310360541407,7.717514003615114,1.2455859869720238,1.3109461287265713,1.1967378087568024,8.281731721874571,1.059186162238775,1.1159285942036195,1.0734929013611554,1.3139192862958817,1.3139192862958817,1.6479143134104948,1.3966375281940402,31147267117.698154,2.1852096027943912,8.71083187167137,1.10424859529351,8.940637247447947,1.127248126072298
Trend_True,28.09143350722933,1.9105954897428745,2.2200383672497783,2.650752346985845,2.9136511913680203,22.958300616615585,2.6579709869890875,2.4919842784989528,2.757579452563242,3.016424052852786,2.35531812490896,3.3159691962382265,28.71639116909136,3.48609803241672,3.6146340803563115,2.8167917463411376,44.36519237392153,2.271326596353117,2.553342583481512,2.512005407834869,3.788878765062339,3.788878765062339,15.685639618171995,3.611169678946001,7922826143.552563,8.485930257896403,40.78833401742256,2.8216374585851867,41.28677887207598,4.874052114748194
